akun,komunitas,degree_centrality,betweenness,eigenvector,degree,ukuran_komunitas,skor_mencurigakan
1175357460468490251,50,0.004,0.0,0,1,13,0.015885714285714284
966143130,50,0.004,0.0,0,1,13,0.015885714285714284
KPK_RI,22,0.004,0.0,0,1,13,0.015885714285714284
2012364308697473024,8,0.0081,0.0,0,2,15,0.01574
kol5_story,27,0.0121,0.0,0,3,18,0.015366315789473685
Chosultan,27,0.0121,0.0,0,3,18,0.015366315789473685
KinanTraffic,8,0.004,0.0,0,1,15,0.014100000000000001
993363156,8,0.004,0.0,0,1,15,0.014100000000000001
2054285397719678976,8,0.004,0.0,0,1,15,0.014100000000000001
1127067954896441344,8,0.004,0.0,0,1,15,0.014100000000000001
lokal_npc,8,0.004,0.0,0,1,15,0.014100000000000001
1115730044939165696,8,0.004,0.0,0,1,15,0.014100000000000001
26240751,8,0.004,0.0,0,1,15,0.014100000000000001
1812596576566829056,8,0.004,0.0,0,1,15,0.014100000000000001
976554273000452096,8,0.004,0.0,0,1,15,0.014100000000000001
OjolOknum,8,0.004,0.0,0,1,15,0.014100000000000001
202977787,8,0.004,0.0,0,1,15,0.014100000000000001
1628957474886946816,8,0.004,0.0,0,1,15,0.014100000000000001
1460999280,27,0.0081,0.0,0,2,18,0.013766315789473684
872861371964112896,27,0.0081,0.0,0,2,18,0.013766315789473684
1731421221777235968,27,0.0081,0.0,0,2,18,0.013766315789473684
marshalleooo,27,0.0081,0.0,0,2,18,0.013766315789473684
1374774415,27,0.0081,0.0,0,2,18,0.013766315789473684
17586774,27,0.0081,0.0,0,2,18,0.013766315789473684
southfaux,27,0.0081,0.0,0,2,18,0.013766315789473684
851021840587698176,27,0.004,0.0,0,1,18,0.012126315789473685
ama_teuur,27,0.004,0.0,0,1,18,0.012126315789473685
877200369033420800,27,0.004,0.0,0,1,18,0.012126315789473685
1940717166875344896,27,0.004,0.0,0,1,18,0.012126315789473685
1227747250157129728,27,0.004,0.0,0,1,18,0.012126315789473685
1226764148895207424,27,0.004,0.0,0,1,18,0.012126315789473685
1358997148264587265,27,0.004,0.0,0,1,18,0.012126315789473685
1393219854400847872,9,0.0081,0.0,0,2,22,0.011935652173913043
hnldbus,9,0.0081,0.0,0,2,22,0.011935652173913043
1844027568871399424,9,0.004,0.0,0,1,22,0.010295652173913044
viana_nezuko,9,0.004,0.0,0,1,22,0.010295652173913044
_bbylvna,9,0.004,0.0,0,1,22,0.010295652173913044
yanqhs2,9,0.004,0.0,0,1,22,0.010295652173913044
faizcazika,9,0.004,0.0,0,1,22,0.010295652173913044
Infernnnooo,9,0.004,0.0,0,1,22,0.010295652173913044
huhuhahihihiks,9,0.004,0.0,0,1,22,0.010295652173913044
atimobe,9,0.004,0.0,0,1,22,0.010295652173913044
rah_inten,9,0.004,0.0,0,1,22,0.010295652173913044
adakamiofficial,9,0.004,0.0,0,1,22,0.010295652173913044
cuaeu,9,0.004,0.0,0,1,22,0.010295652173913044
alvinlie21,9,0.004,0.0,0,1,22,0.010295652173913044
myXL,9,0.004,0.0,0,1,22,0.010295652173913044
xxocc9,9,0.004,0.0,0,1,22,0.010295652173913044
bankmandiri,9,0.004,0.0,0,1,22,0.010295652173913044
RadioElshinta,9,0.004,0.0,0,1,22,0.010295652173913044
MandiriTunasFin,9,0.004,0.0,0,1,22,0.010295652173913044
